Username,Last name,First name,Email address,Status,Started,Completed,Duration,Grade/100.00,Question 1,Response 1,Right answer 1
id_91998703,Rodriguez,Kelly,k.rodriguez@student.example.com,Finished,13 June 2025  5:07 PM,13 June 2025  5:24 PM,16 mins 46 secs,100.0,   Country option: \({2}\)   Questions:     text A text H   ,Seed: 737345; ans1: 5 [score]; ans2: 5 [score]; ans3: 1 [score]; ans4: 35 [score]; ans5: 2 [score]; ans6: 3 [score]; ans7: 1 [score]; ans8: 1 [score]; ans9: 50 [score]; ans10: 1 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T,Seed: 737345; ans1: 5 [score]; ans2: 5 [score]; ans3: 1 [score]; ans4: 35 [score]; ans5: 2 [score]; ans6: 3 [score]; ans7: 1 [score]; ans8: 1 [score]; ans9: 50 [score]; ans10: 1 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T
id_38828630,Martin,Robert,r.martin@student.example.com,Finished,13 June 2025  7:42 PM,16 June 2025  10:31 PM,3 days 2 hours,70.0,   Country option: \({1}\)   Questions:     text B text C   ,Seed: 621508; ans1: 6 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 75 [score]; ans5: 2 [score]; ans6: 2 [score]; ans7: 2 [score]; ans8: 1 [score]; ans9: 10 [score]; ans10: 1 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 0 | prt5-1-T | prt5-2-F; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 0 | prt10-1-T | prt10-2-F,Seed: 621508; ans1: 6 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 75 [score]; ans5: 3 [score]; ans6: 2 [score]; ans7: 2 [score]; ans8: 1 [score]; ans9: 10 [score]; ans10: 2 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T
id_99473565,Williams,Monica,m.williams@student.example.com,Finished,13 June 2025  7:44 PM,18 June 2025  3:00 PM,4 days 19 hours,100.0,   Country option: \({2}\)   Questions:     text H text E   ,Seed: 413986; ans1: 3 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 50 [score]; ans5: 1 [score]; ans6: 4 [score]; ans7: 1 [score]; ans8: 2 [score]; ans9: 99 [score]; ans10: 1 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T,Seed: 413986; ans1: 3 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 50 [score]; ans5: 1 [score]; ans6: 4 [score]; ans7: 1 [score]; ans8: 2 [score]; ans9: 99 [score]; ans10: 1 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T
id_98909797,Berry,George,g.berry@student.example.com,Finished,13 June 2025  8:38 PM,13 June 2025  8:50 PM,11 mins 51 secs,100.0,   Country option: \({1}\)   Questions:     text F text C   ,Seed: 195605; ans1: 1 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 20 [score]; ans5: 3 [score]; ans6: 2 [score]; ans7: 2 [score]; ans8: 1 [score]; ans9: 10 [score]; ans10: 2 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T,Seed: 195605; ans1: 1 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 20 [score]; ans5: 3 [score]; ans6: 2 [score]; ans7: 2 [score]; ans8: 1 [score]; ans9: 10 [score]; ans10: 2 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T
id_34152306,Bridges,Joseph,j.bridges@student.example.com,Finished,13 June 2025  8:38 PM,13 June 2025  8:56 PM,17 mins 3 secs,100.0,   Country option: \({1}\)   Questions:     text F text E   ,Seed: 217653; ans1: 1 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 20 [score]; ans5: 3 [score]; ans6: 4 [score]; ans7: 1 [score]; ans8: 2 [score]; ans9: 76 [score]; ans10: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T,Seed: 217653; ans1: 1 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 20 [score]; ans5: 3 [score]; ans6: 4 [score]; ans7: 1 [score]; ans8: 2 [score]; ans9: 76 [score]; ans10: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T
id_68247223,Flowers,Brittany,b.flowers@student.example.com,Finished,13 June 2025  8:39 PM,13 June 2025  8:51 PM,12 mins 47 secs,100.0,   Country option: \({2}\)   Questions:     text F text D   ,Seed: 841045; ans1: 1 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 5 [score]; ans5: 2 [score]; ans6: 7 [score]; ans7: 1 [score]; ans8: 1 [score]; ans9: 90 [score]; ans10: 2 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T,Seed: 841045; ans1: 1 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 5 [score]; ans5: 2 [score]; ans6: 7 [score]; ans7: 1 [score]; ans8: 1 [score]; ans9: 90 [score]; ans10: 2 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T
id_71787801,Hicks,Andre,a.hicks@student.example.com,Finished,13 June 2025  9:40 PM,17 June 2025  10:51 PM,4 days 1 hour,80.0,   Country option: \({1}\)   Questions:     text E text F   ,Seed: 911347; ans1: 4 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 76 [score]; ans5: 2 [score]; ans6: 1 [score]; ans7: 1 [score]; ans8: 1 [score]; ans9: 20 [score]; ans10: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 0 | prt3-1-F; prt4: # = 1 | prt4-1-T; prt5: # = 0 | prt5-1-T | prt5-2-F; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T,Seed: 911347; ans1: 4 [score]; ans2: 1 [score]; ans3: 2 [score]; ans4: 76 [score]; ans5: 3 [score]; ans6: 1 [score]; ans7: 1 [score]; ans8: 1 [score]; ans9: 20 [score]; ans10: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T
id_22624592,Smith,Jon,j.smith@student.example.com,Finished,13 June 2025  10:35 PM,13 June 2025  10:45 PM,9 mins 50 secs,70.0,   Country option: \({2}\)   Questions:     text F text D   ,Seed: 825627; ans1: 1 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 5 [score]; ans5: 1 [score]; ans6: 7 [score]; ans7: 1 [score]; ans8: 1 [score]; ans9: 90 [score]; ans10: 1 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 0 | prt5-1-T | prt5-2-F; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 0 | prt10-1-T | prt10-2-F,Seed: 825627; ans1: 1 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 5 [score]; ans5: 2 [score]; ans6: 7 [score]; ans7: 1 [score]; ans8: 1 [score]; ans9: 90 [score]; ans10: 2 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T
id_31477701,Morrison,Jordan,j.morrison@student.example.com,Finished,13 June 2025  11:50 PM,18 June 2025  4:25 PM,4 days 16 hours,45.0,   Country option: \({2}\)   Questions:     text H text C   ,Seed: 681176; ans1: 3 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 51 [score]; ans5: 1 [score]; ans6: 2 [score]; ans7: 2 [score]; ans8: 1 [score]; ans9: 20 [score]; ans10: 2 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 0 | prt4-1-F; prt5: # = 1 | prt5-1-F | prt5-3-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 0 | prt9-1-F; prt10: # = 0 | prt10-1-F | prt10-3-F,Seed: 681176; ans1: 3 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 50 [score]; ans5: 1 [score]; ans6: 2 [score]; ans7: 2 [score]; ans8: 1 [score]; ans9: 5 [score]; ans10: 1 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T
id_40869660,Brown,Micheal,m.brown@student.example.com,Finished,14 June 2025  11:33 AM,14 June 2025  11:59 AM,25 mins 57 secs,100.0,   Country option: \({2}\)   Questions:     text C text E   ,Seed: 861451; ans1: 2 [score]; ans2: 2 [score]; ans3: 1 [score]; ans4: 5 [score]; ans5: 1 [score]; ans6: 4 [score]; ans7: 1 [score]; ans8: 2 [score]; ans9: 99 [score]; ans10: 1 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T,Seed: 861451; ans1: 2 [score]; ans2: 2 [score]; ans3: 1 [score]; ans4: 5 [score]; ans5: 1 [score]; ans6: 4 [score]; ans7: 1 [score]; ans8: 2 [score]; ans9: 99 [score]; ans10: 1 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T | prt5-2-T; prt6: # = 1 | prt6-1-T; prt7: # = 1 | prt7-1-T; prt8: # = 1 | prt8-1-T; prt9: # = 1 | prt9-1-T; prt10: # = 1 | prt10-1-T | prt10-2-T
