Username,Last name,First name,Email address,Status,Started,Completed,Duration,Grade/100.00,Question 1,Response 1,Right answer 1
id_87908511,Hart,Brandon,b.hart@student.example.com,Finished,20 June 2025  5:01 PM,21 June 2025  11:08 PM,1 day 6 hours,100.0,Variable 1: \({2000}\) ; Variable 2: \({192}\) ; Variable 3: \({7}\) ; Variable 4: \({109}\) ;   ,Seed: 753679; ans1: 27 [score]; ans2: 43 [score]; ans3: 40 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T,Seed: 753679; ans1: 27 [score]; ans2: 44 [score]; ans3: 40 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T
id_54302573,Shepherd,Allison,a.shepherd@student.example.com,Finished,20 June 2025  5:08 PM,25 June 2025  5:00 PM,4 days 23 hours,0.0,Variable 1: \({2400}\) ; Variable 2: \({155}\) ; Variable 3: \({7}\) ; Variable 4: \({66}\) ;   ,Seed: 264957; prt1: !; prt2: !; prt3: !; prt4: !,Seed: 264957; ans1: 22 [score]; ans2: 43 [score]; ans3: 24 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T
id_38828630,Martin,Robert,r.martin@student.example.com,Finished,20 June 2025  6:14 PM,23 June 2025  11:21 AM,2 days 17 hours,100.0,Variable 1: \({2000}\) ; Variable 2: \({116}\) ; Variable 3: \({4}\) ; Variable 4: \({109}\) ;   ,Seed: 735219; ans1: 29 [score]; ans2: 46 [score]; ans3: 40 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T,Seed: 735219; ans1: 29 [score]; ans2: 46 [score]; ans3: 40 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T
id_71787801,Hicks,Andre,a.hicks@student.example.com,Finished,20 June 2025  7:43 PM,25 June 2025  4:45 PM,4 days 21 hours,100.0,Variable 1: \({1200}\) ; Variable 2: \({79}\) ; Variable 3: \({6}\) ; Variable 4: \({95}\) ;   ,Seed: 900999; ans1: 13 [score]; ans2: 12 [score]; ans3: 35 [score]; ans4: false [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T,Seed: 900999; ans1: 13 [score]; ans2: 13 [score]; ans3: 35 [score]; ans4: false [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T
id_62210219,Walters,Kathleen,k.walters@student.example.com,Finished,20 June 2025  8:32 PM,25 June 2025  1:56 PM,4 days 17 hours,70.0,Variable 1: \({1600}\) ; Variable 2: \({122}\) ; Variable 3: \({4}\) ; Variable 4: \({38}\) ;   ,Seed: 54315; ans1: 31 [score]; ans2: 50 [score]; ans3: 14 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 0 | prt2-3-T | prt2-1-F | ATGT_true. | prt2-4-T | prt2-5-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T,Seed: 54315; ans1: 30 [score]; ans2: 39 [score]; ans3: 14 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T
id_99473565,Williams,Monica,m.williams@student.example.com,Finished,20 June 2025  9:13 PM,24 June 2025  1:39 PM,3 days 16 hours,100.0,Variable 1: \({1600}\) ; Variable 2: \({130}\) ; Variable 3: \({6}\) ; Variable 4: \({73}\) ;   ,Seed: 723345; ans1: 22 [score]; ans2: 28 [score]; ans3: 27 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T,Seed: 723345; ans1: 22 [score]; ans2: 28 [score]; ans3: 27 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T
id_56966959,Sanders,John,j.sanders@student.example.com,Finished,21 June 2025  6:27 AM,21 June 2025  6:33 AM,5 mins 47 secs,100.0,Variable 1: \({2600}\) ; Variable 2: \({168}\) ; Variable 3: \({7}\) ; Variable 4: \({36}\) ;   ,Seed: 86386; ans1: 24 [score]; ans2: 50 [score]; ans3: 13 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T,Seed: 86386; ans1: 24 [score]; ans2: 50 [score]; ans3: 13 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T
id_79192121,Mercado,Donald,d.mercado@student.example.com,Finished,21 June 2025  10:39 AM,21 June 2025  10:42 AM,3 mins 26 secs,100.0,Variable 1: \({1600}\) ; Variable 2: \({158}\) ; Variable 3: \({7}\) ; Variable 4: \({113}\) ;   ,Seed: 412073; ans1: 23 [score]; ans2: 29 [score]; ans3: 41 [score]; ans4: false [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T,Seed: 412073; ans1: 23 [score]; ans2: 29 [score]; ans3: 41 [score]; ans4: false [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T
id_44054384,Garcia,Joyce,j.garcia@student.example.com,Finished,21 June 2025  12:48 PM,25 June 2025  2:46 PM,4 days 1 hour,100.0,Variable 1: \({1200}\) ; Variable 2: \({83}\) ; Variable 3: \({6}\) ; Variable 4: \({42}\) ;   ,Seed: 690476; ans1: 14 [score]; ans2: 13 [score]; ans3: 15 [score]; ans4: false [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T,Seed: 690476; ans1: 14 [score]; ans2: 13 [score]; ans3: 15 [score]; ans4: false [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T
id_29232207,Hernandez,Larry,l.hernandez@student.example.com,Finished,21 June 2025  2:42 PM,21 June 2025  2:52 PM,9 mins 33 secs,100.0,Variable 1: \({2000}\) ; Variable 2: \({190}\) ; Variable 3: \({3}\) ; Variable 4: \({28}\) ;   ,Seed: 227886; ans1: 63 [score]; ans2: 101 [score]; ans3: 10 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T,Seed: 227886; ans1: 63 [score]; ans2: 101 [score]; ans3: 10 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T
id_69752164,Anderson,Jessica,j.anderson@student.example.com,Finished,21 June 2025  2:54 PM,21 June 2025  3:21 PM,26 mins 57 secs,100.0,Variable 1: \({1800}\) ; Variable 2: \({128}\) ; Variable 3: \({3}\) ; Variable 4: \({98}\) ;   ,Seed: 55470; ans1: 43 [score]; ans2: 61 [score]; ans3: 36 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T,Seed: 55470; ans1: 43 [score]; ans2: 61 [score]; ans3: 36 [score]; ans4: true [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-3-T | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-2-T
