Username,Last name,First name,Email address,Status,Started,Completed,Duration,Grade/100.00,Question 1,Response 1,Right answer 1,Question 2,Response 2,Right answer 2,Question 3,Response 3,Right answer 3,Question 4,Response 4,Right answer 4
id_31477701,Morrison,Jordan,j.morrison@student.example.com,Finished,27 June 2025  5:49 PM,2 July 2025  5:00 PM,4 days 23 hours,100.0,Text C,True,True,Text E,False,False,Text B,False,False,Text D,True,True
id_91998703,Rodriguez,Kelly,k.rodriguez@student.example.com,Finished,27 June 2025  5:53 PM,27 June 2025  5:57 PM,4 mins 7 secs,100.0,Text F,False,False,Text G,True,True,Text C,True,True,Text B,False,False
id_87908511,Hart,Brandon,b.hart@student.example.com,Finished,27 June 2025  7:22 PM,28 June 2025  4:47 PM,21 hours 24 mins,100.0,Text E,False,False,Text G,True,True,Text H,False,False,Text D,True,True
id_87923109,Castaneda,Lauren,l.castaneda@student.example.com,Finished,27 June 2025  10:06 PM,27 June 2025  10:09 PM,2 mins 50 secs,100.0,Text A,True,True,Text F,False,False,Text E,False,False,Text G,True,True
id_98909797,Berry,George,g.berry@student.example.com,Finished,27 June 2025  10:08 PM,27 June 2025  10:11 PM,3 mins 1 sec,100.0,Text E,False,False,Text C,True,True,Text A,True,True,Text D,True,True
id_34152306,Bridges,Joseph,j.bridges@student.example.com,Finished,27 June 2025  10:08 PM,27 June 2025  10:16 PM,8 mins 10 secs,100.0,Text H,False,False,Text G,True,True,Text D,True,True,Text C,True,True
id_68247223,Flowers,Brittany,b.flowers@student.example.com,Finished,27 June 2025  10:08 PM,27 June 2025  10:17 PM,9 mins 25 secs,100.0,Text G,True,True,Text H,False,False,Text F,False,False,Text B,False,False
id_20938170,Morris,Alexander,a.morris@student.example.com,Finished,27 June 2025  11:00 PM,2 July 2025  5:00 PM,4 days 17 hours,100.0,Text C,True,True,Text E,False,False,Text H,False,False,Text B,False,False
id_89451401,Flynn,James,j.flynn@student.example.com,Finished,28 June 2025  1:46 AM,28 June 2025  1:49 AM,3 mins 37 secs,100.0,Text H,False,False,Text G,True,True,Text F,False,False,Text C,True,True
id_61318179,Davis,Julia,j.davis@student.example.com,Finished,28 June 2025  9:09 AM,28 June 2025  9:12 AM,3 mins 4 secs,100.0,Text B,False,False,Text G,True,True,Text C,True,True,Text E,False,False
id_96412727,Palmer,Valerie,v.palmer@student.example.com,Finished,28 June 2025  10:30 AM,28 June 2025  10:35 AM,4 mins 16 secs,100.0,Text F,False,False,Text G,True,True,Text B,False,False,Text H,False,False
id_79192121,Mercado,Donald,d.mercado@student.example.com,Finished,28 June 2025  10:40 AM,28 June 2025  10:43 AM,2 mins 48 secs,100.0,Text H,False,False,Text F,False,False,Text E,False,False,Text A,True,True
