Username,Last name,First name,Email address,Status,Started,Completed,Duration,Grade/100.00,Question 1,Response 1,Right answer 1
id_34152306,Bridges,Joseph,j.bridges@student.example.com,Finished,4 July 2025  5:00 PM,4 July 2025  5:15 PM,14 mins 50 secs,100.0,"Variable 1: \({19,642}\)     Variable 2: \({4,791}\)    Questions: \({3}\) and \({2}\)   ",Seed: 611130; ans1: 79 [score]; ans2: 1 [score]; ans3: 8 [score]; ans4: 235704 [score]; ans5: 1 [score]; ans6: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 611130; ans1: 79 [score]; ans2: 1 [score]; ans3: 8 [score]; ans4: 235704 [score]; ans5: 1 [score]; ans6: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_68247223,Flowers,Brittany,b.flowers@student.example.com,Finished,4 July 2025  5:00 PM,4 July 2025  5:15 PM,14 mins 52 secs,100.0,"Variable 1: \({6,165}\)     Variable 2: \({868}\)    Questions: \({8}\) and \({5}\)   ",Seed: 559378; ans1: 25 [score]; ans2: 3 [score]; ans3: 24 [score]; ans4: 309 [score]; ans5: 1 [score]; ans6: 26 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 559378; ans1: 25 [score]; ans2: 3 [score]; ans3: 24 [score]; ans4: 308 [score]; ans5: 1 [score]; ans6: 26 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_71787801,Hicks,Andre,a.hicks@student.example.com,Finished,4 July 2025  5:54 PM,4 July 2025  5:59 PM,4 mins 17 secs,50.0,"Variable 1: \({8,272}\)     Variable 2: \({1,034}\)    Questions: \({6}\) and \({1}\)   ",Seed: 503112; ans1: 500 [score]; ans2: 2 [score]; ans3: 26 [score]; ans4: 2 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 0 | prt1-1-F | prt1-2-F; prt2: # = 1 | prt2-1-T; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 1 | prt4-1-F | prt4-2-T; prt5: # = 1 | prt5-1-T; prt6: # = 0 | prt6-1-F | prt6-2-F,Seed: 503112; ans1: 7445 [score]; ans2: 2 [score]; ans3: 8 [score]; ans4: 2068 [score]; ans5: 1 [score]; ans6: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_38828630,Martin,Robert,r.martin@student.example.com,Finished,4 July 2025  6:05 PM,6 July 2025  10:24 PM,2 days 4 hours,100.0,"Variable 1: \({18,841}\)     Variable 2: \({1,884}\)    Questions: \({10}\) and \({8}\)   ",Seed: 235537; ans1: 15073 [score]; ans2: 4 [score]; ans3: 2 [score]; ans4: 35 [score]; ans5: 3 [score]; ans6: 24 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 235537; ans1: 15073 [score]; ans2: 4 [score]; ans3: 2 [score]; ans4: 35 [score]; ans5: 3 [score]; ans6: 24 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_79192121,Mercado,Donald,d.mercado@student.example.com,Finished,4 July 2025  7:01 PM,4 July 2025  7:23 PM,22 mins 7 secs,66.67,"Variable 1: \({13,105}\)     Variable 2: \({2,849}\)    Questions: \({1}\) and \({11}\)   ",Seed: 34518; ans1: 4 [score]; ans2: 1 [score]; ans3: 8 [score]; ans4: 27 [score]; ans5: 4 [score]; ans6: 3 [score]; prt1: # = 0 | prt1-1-F | prt1-2-F; prt2: # = 1 | prt2-1-T; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 1 | prt4-1-F | prt4-2-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 34518; ans1: 5698 [score]; ans2: 1 [score]; ans3: 3 [score]; ans4: 13 [score]; ans5: 4 [score]; ans6: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_51713999,Rivera,Tyler,t.rivera@student.example.com,Finished,4 July 2025  7:28 PM,8 July 2025  1:57 PM,3 days 18 hours,83.33,"Variable 1: \({14,635}\)     Variable 2: \({1,608}\)    Questions: \({7}\) and \({4}\)   ",Seed: 457708; ans1: 563 [score]; ans2: 2 [score]; ans3: 31 [score]; ans4: 732 [score]; ans5: 1 [score]; ans6: 26 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-F | prt4-2-T; prt5: # = 1 | prt5-1-T; prt6: # = 0 | prt6-1-F | prt6-2-F,Seed: 457708; ans1: 563 [score]; ans2: 2 [score]; ans3: 31 [score]; ans4: 293 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_73505798,Baker,Leslie,l.baker@student.example.com,Finished,4 July 2025  10:40 PM,8 July 2025  12:11 AM,3 days 1 hour,33.33,"Variable 1: \({17,623}\)     Variable 2: \({2,889}\)    Questions: \({7}\) and \({6}\)   ",Seed: 466201; ans1: 2166 [score]; ans2: 2 [score]; ans3: 2 [score]; ans4: 5000 [score]; ans5: 2 [score]; ans6: 26 [score]; prt1: # = 0 | prt1-1-F | prt1-2-F; prt2: # = 1 | prt2-1-T; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 0 | prt4-1-F | prt4-2-F; prt5: # = 1 | prt5-1-T; prt6: # = 0 | prt6-1-F | prt6-2-F,Seed: 466201; ans1: 1011 [score]; ans2: 2 [score]; ans3: 31 [score]; ans4: 15861 [score]; ans5: 2 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_87908511,Hart,Brandon,b.hart@student.example.com,Finished,4 July 2025  11:32 PM,9 July 2025  10:23 AM,4 days 10 hours,100.0,"Variable 1: \({10,915}\)     Variable 2: \({2,228}\)    Questions: \({7}\) and \({2}\)   ",Seed: 511282; ans1: 780 [score]; ans2: 2 [score]; ans3: 36 [score]; ans4: 130980 [score]; ans5: 1 [score]; ans6: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 511282; ans1: 780 [score]; ans2: 2 [score]; ans3: 31 [score]; ans4: 130980 [score]; ans5: 1 [score]; ans6: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_89312830,James,Eric,e.james@student.example.com,Finished,5 July 2025  1:13 AM,7 July 2025  8:09 PM,2 days 18 hours,100.0,"Variable 1: \({9,602}\)     Variable 2: \({1,171}\)    Questions: \({10}\) and \({1}\)   ",Seed: 702423; ans1: 7681 [score]; ans2: 4 [score]; ans3: 2 [score]; ans4: 2 [score]; ans5: 1 [score]; ans6: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-F | prt4-2-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 702423; ans1: 7682 [score]; ans2: 4 [score]; ans3: 2 [score]; ans4: 2342 [score]; ans5: 1 [score]; ans6: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_22679892,Parsons,James,j.parsons@student.example.com,Finished,5 July 2025  10:20 AM,5 July 2025  10:30 AM,10 mins 2 secs,100.0,"Variable 1: \({12,789}\)     Variable 2: \({1,505}\)    Questions: \({5}\) and \({6}\)   ",Seed: 463948; ans1: 639 [score]; ans2: 1 [score]; ans3: 26 [score]; ans4: 11510 [score]; ans5: 2 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 463948; ans1: 639 [score]; ans2: 1 [score]; ans3: 26 [score]; ans4: 11510 [score]; ans5: 2 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
