Username,Last name,First name,Email address,Status,Started,Completed,Duration,Grade/100.00,Question 1,Response 1,Right answer 1
id_98909797,Berry,George,g.berry@student.example.com,Finished,18 July 2025  5:00 PM,23 July 2025  5:00 PM,4 days 23 hours,60.0,"   Variable 1: \({1,159}\)   Variable 1 per household: \({6}\)  Variable 3: \({710}\)   Variable 4: \({4.6}\)  Variable 5: \({2.38}\)            ",Seed: 584636; ans1: 568 [score]; ans2: 17990.8 [score]; ans3: 35375.8 [score]; ans4: 48 [score]; ans5: 3.2 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 0 | prt2-1-F | prt2-2-F | prt2-3-F | prt2-4-F; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 0 | prt4-1-F | prt4-2-F | prt4-3-F | prt4-4-F; prt5: # = 1 | prt5-1-F | prt5-2-T,Seed: 584636; ans1: 568 [score]; ans2: 6056.5 [score]; ans3: 23441.5 [score]; ans4: 3133.6 [score]; ans5: 208.9 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T
id_34152306,Bridges,Joseph,j.bridges@student.example.com,Finished,18 July 2025  5:00 PM,21 July 2025  8:26 PM,3 days 3 hours,100.0,"   Variable 1: \({8,607}\)   Variable 1 per household: \({5}\)  Variable 3: \({509}\)   Variable 4: \({1.3}\)  Variable 5: \({2.19}\)            ",Seed: 125420; ans1: 407.2 [score]; ans2: 2238.6 [score]; ans3: 131343.6 [score]; ans4: 3771.2 [score]; ans5: 251.4 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-F | prt2-2-F | prt2-3-T; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 1 | prt4-1-F | prt4-2-F | prt4-3-T; prt5: # = 1 | prt5-1-F | prt5-2-T,Seed: 125420; ans1: 407.2 [score]; ans2: 9112.4 [score]; ans3: 138217.4 [score]; ans4: 15350.9 [score]; ans5: 1023.4 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T
id_68247223,Flowers,Brittany,b.flowers@student.example.com,Finished,18 July 2025  5:01 PM,21 July 2025  7:16 PM,3 days 2 hours,100.0,"   Variable 1: \({3,841}\)   Variable 1 per household: \({4}\)  Variable 3: \({512}\)   Variable 4: \({1.4}\)  Variable 5: \({1.27}\)            ",Seed: 686623; ans1: 409.6 [score]; ans2: 1345.4 [score]; ans3: 58960.4 [score]; ans4: 1220.5 [score]; ans5: 81.4 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-F | prt2-2-F | prt2-3-T; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 1 | prt4-1-F | prt4-2-F | prt4-3-T; prt5: # = 1 | prt5-1-F | prt5-2-T,Seed: 686623; ans1: 409.6 [score]; ans2: 4405.2 [score]; ans3: 62020.2 [score]; ans4: 3996.1 [score]; ans5: 266.4 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T
id_71787801,Hicks,Andre,a.hicks@student.example.com,Finished,18 July 2025  6:59 PM,21 July 2025  4:35 PM,2 days 21 hours,100.0,"   Variable 1: \({5,041}\)   Variable 1 per household: \({4}\)  Variable 3: \({743}\)   Variable 4: \({1.4}\)  Variable 5: \({4.0}\)            ",Seed: 498242; ans1: 594.4 [score]; ans2: 1764.4 [score]; ans3: 77379.4 [score]; ans4: 5041 [score]; ans5: 336 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-F | prt2-2-F | prt2-3-T; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 1 | prt4-1-F | prt4-2-F | prt4-3-T; prt5: # = 1 | prt5-1-F | prt5-2-T,Seed: 498242; ans1: 594.4 [score]; ans2: 8389.8 [score]; ans3: 84004.8 [score]; ans4: 23971.0 [score]; ans5: 1598.1 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T
id_61318179,Davis,Julia,j.davis@student.example.com,Finished,18 July 2025  7:10 PM,18 July 2025  7:24 PM,13 mins 49 secs,100.0,"   Variable 1: \({2,250}\)   Variable 1 per household: \({3}\)  Variable 3: \({541}\)   Variable 4: \({3.9}\)  Variable 5: \({1.28}\)            ",Seed: 734341; ans1: 432.8 [score]; ans2: 2925 [score]; ans3: 36675 [score]; ans4: 960 [score]; ans5: 64 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-F | prt2-2-F | prt2-3-T; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 1 | prt4-1-F | prt4-2-F | prt4-3-T; prt5: # = 1 | prt5-1-F | prt5-2-T,Seed: 734341; ans1: 432.8 [score]; ans2: 7595.6 [score]; ans3: 41345.6 [score]; ans4: 2492.9 [score]; ans5: 166.2 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T
id_29232207,Hernandez,Larry,l.hernandez@student.example.com,Finished,18 July 2025  7:49 PM,18 July 2025  7:59 PM,10 mins 14 secs,100.0,"   Variable 1: \({1,582}\)   Variable 1 per household: \({6}\)  Variable 3: \({593}\)   Variable 4: \({4.1}\)  Variable 5: \({1.61}\)            ",Seed: 479374; ans1: 474.4 [score]; ans2: 1081.0 [score]; ans3: 24811.0 [score]; ans4: 424.5 [score]; ans5: 28.3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-F | prt2-2-F | prt2-3-T; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 1 | prt4-1-F | prt4-2-F | prt4-3-T; prt5: # = 1 | prt5-1-F | prt5-2-T,Seed: 479374; ans1: 474.4 [score]; ans2: 6154.1 [score]; ans3: 29884.1 [score]; ans4: 2416.6 [score]; ans5: 161.1 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T
id_69752164,Anderson,Jessica,j.anderson@student.example.com,Finished,18 July 2025  11:40 PM,18 July 2025  11:51 PM,10 mins 56 secs,100.0,"   Variable 1: \({6,620}\)   Variable 1 per household: \({5}\)  Variable 3: \({775}\)   Variable 4: \({2.5}\)  Variable 5: \({1.56}\)            ",Seed: 956168; ans1: 620 [score]; ans2: 3310 [score]; ans3: 102610 [score]; ans4: 2065.4 [score]; ans5: 137.7 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-F | prt2-2-F | prt2-3-T; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 1 | prt4-1-F | prt4-2-F | prt4-3-T; prt5: # = 1 | prt5-1-F | prt5-2-T,Seed: 956168; ans1: 620 [score]; ans2: 20522.0 [score]; ans3: 119822.0 [score]; ans4: 12805.7 [score]; ans5: 853.7 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T
id_50984896,Reyes,Kimberly,k.reyes@student.example.com,Finished,19 July 2025  12:17 AM,19 July 2025  12:19 AM,2 mins 34 secs,100.0,"   Variable 1: \({9,386}\)   Variable 1 per household: \({6}\)  Variable 3: \({724}\)   Variable 4: \({2.0}\)  Variable 5: \({1.95}\)            ",Seed: 729120; ans1: 579.2 [score]; ans2: 3128.0 [score]; ans3: 143918.0 [score]; ans4: 3049.8 [score]; ans5: 203.3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-F | prt2-2-F | prt2-3-T; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 1 | prt4-1-F | prt4-2-F | prt4-3-T; prt5: # = 1 | prt5-1-F | prt5-2-T,Seed: 729120; ans1: 579.2 [score]; ans2: 21745.5 [score]; ans3: 162535.5 [score]; ans4: 21201.8 [score]; ans5: 1413.5 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T
id_56966959,Sanders,John,j.sanders@student.example.com,Finished,19 July 2025  2:49 AM,19 July 2025  3:04 AM,15 mins 55 secs,100.0,"   Variable 1: \({2,565}\)   Variable 1 per household: \({4}\)  Variable 3: \({518}\)   Variable 4: \({3.8}\)  Variable 5: \({3.54}\)            ",Seed: 937774; ans1: 414.4 [score]; ans2: 32748.6 [score]; ans3: 71223.6 [score]; ans4: 30509.1 [score]; ans5: 2033.9 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-F | prt2-2-F | prt2-3-F | prt2-4-T; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 1 | prt4-1-F | prt4-2-F | prt4-3-F | prt4-4-T; prt5: # = 1 | prt5-1-F | prt5-2-T,Seed: 937774; ans1: 414.4 [score]; ans2: 8078.3 [score]; ans3: 46553.3 [score]; ans4: 7525.6 [score]; ans5: 501.7 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T
id_96412727,Palmer,Valerie,v.palmer@student.example.com,Finished,19 July 2025  10:57 AM,19 July 2025  10:59 AM,2 mins 25 secs,100.0,"   Variable 1: \({3,459}\)   Variable 1 per household: \({5}\)  Variable 3: \({602}\)   Variable 4: \({1.1}\)  Variable 5: \({2.34}\)            ",Seed: 320699; ans1: 481.6 [score]; ans2: 761.2 [score]; ans3: 52646.2 [score]; ans4: 1619.3 [score]; ans5: 108 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-F | prt2-2-F | prt2-3-T; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 1 | prt4-1-F | prt4-2-F | prt4-3-T; prt5: # = 1 | prt5-1-F | prt5-2-T,Seed: 320699; ans1: 481.6 [score]; ans2: 3664.9 [score]; ans3: 55549.9 [score]; ans4: 7796.2 [score]; ans5: 519.7 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T
