Username,Last name,First name,Email address,Status,Started,Completed,Duration,Grade/100.00,Question 1,Response 1,Right answer 1,Question 2,Response 2,Right answer 2
id_68247223,Flowers,Brittany,b.flowers@student.example.com,Finished,25 July 2025  5:07 PM,25 July 2025  5:13 PM,5 mins 58 secs,100.0,"   \({\left[ \text{a6} , \text{h2} , \text{a7} , \text{a4} , \text{a2} , \text{h7} , \text{h4} , \text{h6} \right]}\)         ","Seed: 752144; ans1: ""{\""used\"":[[[\""a6\"",\""a4\"",\""a7\"",\""a2\""]],[[\""h2\"",\""h4\"",\""h7\"",\""h6\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 752144; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project C,False,False
id_98909797,Berry,George,g.berry@student.example.com,Finished,25 July 2025  5:07 PM,25 July 2025  5:12 PM,5 mins 8 secs,100.0,"   \({\left[ \text{h2} , \text{a4} , \text{h4} , \text{h3} , \text{a2} , \text{h5} , \text{a3} , \text{a5} \right]}\)         ","Seed: 659123; ans1: ""{\""used\"":[[[\""a3\"",\""a5\"",\""a2\"",\""a4\""]],[[\""h3\"",\""h5\"",\""h2\"",\""h4\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 659123; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project B,False,False
id_34152306,Bridges,Joseph,j.bridges@student.example.com,Finished,25 July 2025  5:07 PM,25 July 2025  5:12 PM,5 mins 9 secs,100.0,"   \({\left[ \text{h5} , \text{a7} , \text{h2} , \text{a2} , \text{a5} , \text{a4} , \text{h4} , \text{h7} \right]}\)         ","Seed: 22451; ans1: ""{\""used\"":[[[\""a7\"",\""a2\"",\""a5\"",\""a4\""]],[[\""h7\"",\""h2\"",\""h5\"",\""h4\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 22451; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project A,True,True
id_51713999,Rivera,Tyler,t.rivera@student.example.com,Finished,25 July 2025  7:07 PM,25 July 2025  7:24 PM,16 mins 36 secs,100.0,"   \({\left[ \text{a3} , \text{h6} , \text{h7} , \text{a6} , \text{h5} , \text{a5} , \text{a7} , \text{h3} \right]}\)         ","Seed: 707173; ans1: ""{\""used\"":[[[\""a3\"",\""a6\"",\""a7\"",\""a5\""]],[[\""h3\"",\""h6\"",\""h7\"",\""h5\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 707173; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project C,False,False
id_33071753,Thomas,David,d.thomas@student.example.com,Finished,25 July 2025  8:07 PM,25 July 2025  8:09 PM,1 min 31 secs,100.0,"   \({\left[ \text{h4} , \text{h5} , \text{h7} , \text{h1} , \text{a7} , \text{a5} , \text{a4} , \text{a1} \right]}\)         ","Seed: 321787; ans1: ""{\""used\"":[[[\""a5\"",\""a7\"",\""a4\"",\""a1\""]],[[\""h4\"",\""h5\"",\""h7\"",\""h1\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 321787; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project B,False,False
id_50984896,Reyes,Kimberly,k.reyes@student.example.com,Finished,25 July 2025  8:12 PM,25 July 2025  9:13 PM,1 hour 1 min,100.0,"   \({\left[ \text{h5} , \text{h2} , \text{a5} , \text{a7} , \text{h7} , \text{a3} , \text{a2} , \text{h3} \right]}\)         ","Seed: 310019; ans1: ""{\""used\"":[[[\""a5\"",\""a7\"",\""a3\"",\""a2\""]],[[\""h5\"",\""h2\"",\""h7\"",\""h3\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 310019; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project C,False,False
id_71787801,Hicks,Andre,a.hicks@student.example.com,Finished,25 July 2025  8:33 PM,26 July 2025  12:14 PM,15 hours 40 mins,100.0,"   \({\left[ \text{h2} , \text{a5} , \text{h3} , \text{a3} , \text{h5} , \text{h7} , \text{a7} , \text{a2} \right]}\)         ","Seed: 39905; ans1: ""{\""used\"":[[[\""a2\"",\""a3\"",\""a7\"",\""a5\""]],[[\""h2\"",\""h3\"",\""h7\"",\""h5\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 39905; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project A,True,True
id_47915105,Moore,Michelle,m.moore@student.example.com,Finished,25 July 2025  9:53 PM,25 July 2025  10:03 PM,10 mins 6 secs,100.0,"   \({\left[ \text{a2} , \text{a4} , \text{h1} , \text{h2} , \text{h4} , \text{a5} , \text{h5} , \text{a1} \right]}\)         ","Seed: 547728; ans1: ""{\""used\"":[[[\""a1\"",\""a4\"",\""a5\"",\""a2\""]],[[\""h1\"",\""h4\"",\""h5\"",\""h2\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 547728; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project C,False,False
id_79192121,Mercado,Donald,d.mercado@student.example.com,Finished,26 July 2025  10:25 AM,26 July 2025  10:27 AM,1 min 46 secs,100.0,"   \({\left[ \text{a1} , \text{a5} , \text{h6} , \text{h4} , \text{h1} , \text{a6} , \text{a4} , \text{h5} \right]}\)         ","Seed: 103602; ans1: ""{\""used\"":[[[\""a1\"",\""a6\"",\""a5\"",\""a4\""]],[[\""h6\"",\""h4\"",\""h1\"",\""h5\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 103602; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project A,True,True
id_22679892,Parsons,James,j.parsons@student.example.com,Finished,26 July 2025  10:37 AM,26 July 2025  10:57 AM,20 mins 1 sec,100.0,"   \({\left[ \text{a6} , \text{h3} , \text{h6} , \text{a1} , \text{a4} , \text{h4} , \text{h1} , \text{a3} \right]}\)         ","Seed: 683619; ans1: ""{\""used\"":[[[\""a6\"",\""a1\"",\""a3\"",\""a4\""]],[[\""h3\"",\""h4\"",\""h6\"",\""h1\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 683619; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project C,False,False
id_67127448,Thompson,Anne,a.thompson@student.example.com,Finished,26 July 2025  11:15 AM,26 July 2025  12:00 PM,45 mins 10 secs,100.0,"   \({\left[ \text{a5} , \text{h6} , \text{a6} , \text{h7} , \text{a2} , \text{h2} , \text{h5} , \text{a7} \right]}\)         ","Seed: 847854; ans1: ""{\""used\"":[[[\""a5\"",\""a7\"",\""a2\"",\""a6\""]],[[\""h6\"",\""h2\"",\""h5\"",\""h7\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 847854; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project C,False,False
id_29232207,Hernandez,Larry,l.hernandez@student.example.com,Finished,26 July 2025  11:36 AM,26 July 2025  11:37 AM,1 min 33 secs,100.0,"   \({\left[ \text{h3} , \text{h5} , \text{a2} , \text{a5} , \text{a7} , \text{h2} , \text{h7} , \text{a3} \right]}\)         ","Seed: 718516; ans1: ""{\""used\"":[[[\""a2\"",\""a3\"",\""a7\"",\""a5\""]],[[\""h2\"",\""h3\"",\""h7\"",\""h5\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 718516; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project C,False,False
id_96412727,Palmer,Valerie,v.palmer@student.example.com,Finished,26 July 2025  12:25 PM,26 July 2025  12:26 PM,1 min 14 secs,100.0,"   \({\left[ \text{a2} , \text{h2} , \text{a7} , \text{h7} , \text{h1} , \text{a4} , \text{h4} , \text{a1} \right]}\)         ","Seed: 743339; ans1: ""{\""used\"":[[[\""a2\"",\""a7\"",\""a4\"",\""a1\""]],[[\""h2\"",\""h7\"",\""h1\"",\""h4\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 743339; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project A,True,True
id_61318179,Davis,Julia,j.davis@student.example.com,Finished,26 July 2025  12:39 PM,26 July 2025  12:40 PM,1 min 17 secs,100.0,"   \({\left[ \text{a3} , \text{h1} , \text{a7} , \text{a6} , \text{h7} , \text{h3} , \text{a1} , \text{h6} \right]}\)         ","Seed: 480715; ans1: ""{\""used\"":[[[\""a3\"",\""a7\"",\""a1\"",\""a6\""]],[[\""h1\"",\""h7\"",\""h3\"",\""h6\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 480715; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project C,False,False
id_83845735,Smith,Tracy,t.smith@student.example.com,Finished,26 July 2025  1:41 PM,26 July 2025  1:48 PM,6 mins 46 secs,100.0,"   \({\left[ \text{h3} , \text{a2} , \text{h6} , \text{a5} , \text{h5} , \text{a3} , \text{a6} , \text{h2} \right]}\)         ","Seed: 435045; ans1: ""{\""used\"":[[[\""a2\"",\""a3\"",\""a5\"",\""a6\""]],[[\""h3\"",\""h6\"",\""h2\"",\""h5\""]]],\""available\"":[]}"" [score]; prt1: # = 1 | prt1-1-T | prt1-5-T","Seed: 435045; ans1: ""[\""a1\"",\""a2\"",\""a3\"",\""a4\"",\""a5\"",\""a6\"",\""a7\""],[\""h1\"",\""h2\"",\""h3\"",\""h4\"",\""h5\"",\""h6\"",\""h7\""]"" [score]; prt1: [RUNTIME_FV_ERROR] # = 0 | apply: second argument must be a list; found: a2[2][1][1]   |intersection: argument must be a set; found: a2[2][1][1]|intersection: argument must be a set; found: a2[2][2][1] | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F | prt1-7-F | prt1-8-F",Project A,True,True
